,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
244,Data Scientist,$61K-$103K (Glassdoor Est.),"HNI Corporation, an industry leader in office furniture design and manufacturing is in search of a Data Scientist to join our team in Chicago, IL!

As a member of the Decision Science team, the Data Scientist will play a crucial role in building HNI's data science practice in Chicago. In this new role, you'll tackle cross-functional and high-profile business problems that add value and establish competitive advantages for HNI. As a key hire in a new department you and the team will develop and define the end-to-end data science process that will enable the business to make data-driven decisions using different machine learning techniques, form proof of concept to deploying models in production.

If you like the sound of solving business problems, helping to build a new functional area from scratch, implementing new approaches to data and making a major impact at a leading global company HNI might be the place for you.

What will you do:
Use SQL, R & Python, and other data tools to analyze internal and external data in order to build predictive models and provide insights to business partners.
Present highly technical information to business units not versed in such technicalities.
Interpret data and analyze results using statistical techniques and provide on-going reports in a timely and professional manner.
Develop and implement databases, data collection systems, data analytics, and other strategies that will provide efficient data and reporting solutions.
Identify business trends from big data sources to enable faster and better decision making.
Who you are:
1+ years of advanced analytic/data science/machine learning experience
MS/PhD in Computer Science, Statistics, Applied Mathematics, Engineering, or a related quantitative field
Proven track record of end-to-end experience in model development, testing, implementation and performance tracking
Hands-on knowledge of SQL, R, Python and Spark
Familiarity with Linux and AWS/Azure
Excellent communication, teamwork and consulting skills.
Strong analytical and problem-solving skill set.
We look forward to hearing from you!

Why HNI Corporation?

HNI Corporation (NYSE: HNI), is a $2.3 billion-dollar, global office furniture and hearth product enterprise. Our furniture brands are among the strongest, most widely known in the industry, including HON, Allsteel, Gunlocke, HBF, Maxon, and OFM. The depth and breadth of our brands, the scale and capability of our manufacturing, and the strength of our distribution enables us to provide the best office furniture solutions to meet the needs of every customer.

The fourth largest employer in Iowa, HNI Corporation has been ranked by Industry Week magazine as one of the ""Top 100 Best Managed Companies in the World"", by Fortune magazine as ""The Most Admired Company"" in the furniture industry; and named by Chief Executive Magazine as one of the world's best companies for leadership development.

We invite you to visit us at www.HNICorp.com for the best visual overview of our organization.

EEO/Male/Female/Veteran/Disabled",3.4,"HNI
3.4","Chicago, IL","Muscatine, IA",5001 to 10000 employees,1944,Company - Public,Consumer Products Manufacturing,Manufacturing,?100 to ?500 billion (INR),-1
245,Data Engineer,$61K-$103K (Glassdoor Est.),"PulsePoint Data Engineering team plays a key role in our technology company that's experiencing exponential growth. Our data pipeline processes over 80 billion impressions a day (> 20TB of data, 220 TB uncompressed). This data is used to generate reports, update budgets, and drive our optimization engines. We do all this while running against extremely tight SLAs and provide stats and reports as close to real-time as possible.

The most exciting part about working at PulsePoint is the enormous potential for personal and professional growth. We are always seeking new and better tools to help us meet challenges such as adopting proven open-source technologies to make our data infrastructure more nimble, scalable and robust. Some of the cutting edge technologies we have recently implemented are Kafka, Spark Streaming, Presto, Airflow, and Kubernetes.

What you'll be doing:
Design, build and maintain reliable and scalable enterprise level distributed transactional data processing systems for scaling the existing business and supporting new business initiatives
Optimize jobs to utilize Kafka, Hadoop, Presto, Spark Streaming and Kubernetes resources in the most efficient way
Monitor and provide transparency into data quality across systems (accuracy, consistency, completeness, etc)
Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers to build/deploy tools and datasets that fit their use cases)
Collaborate within a small team with diverse technology backgrounds
Provide mentorship and guidance to junior team members
Team Responsibilities:
Installation, upkeep, maintenance and monitoring of Kafka, Hadoop, Presto, RDBMS
Ingest, validate and process internal & third party data
Create, maintain and monitor data flows in Hive, SQL and Presto for consistency, accuracy and lag time
Maintain and enhance framework for jobs(primarily aggregate jobs in Hive)
Create different consumers for data in Kafka using Spark Streaming for near time aggregation
Train Developers/Analysts on tools to pull data
Tool evaluation/selection/implementation
Backups/Retention/High Availability/Capacity Planning
Review/Approval - DDL for database, Hive Framework jobs and Spark Streaming to make sure they meet our standards
24*7 On call rotation for Production support
Technologies We Use:
Airflow - for job scheduling
Docker - Packaged container image with all dependencies
Graphite/Beacon - for monitoring data flows
Hive - SQL data warehouse layer for data in HDFS
Impala- faster SQL layer on top of Hive
Kafka- distributed commit log storage
Kubernetes - Distributed cluster resource manager
Presto - fast parallel data warehouse and data federation layer
Spark Streaming - Near time aggregation
SQL Server - Reliable OLTP RDBMS
Sqoop - Import/Export data to RDBMS
Required Skills:
BA/BS degree in Computer science or related field
5+ years of software engineering experience
Knowledge and exposure to distributed production systems i.e Hadoop is a huge plus
Knowledge and exposure to Cloud migration is a plus
Proficiency in Linux
Fluency in Python, Experience in Scala/Java is a huge plus
Strong understanding of RDBMS, SQL;
Passion for engineering and computer science around data
Willingness to participate in 24x7 on-call rotation
What we offer:
401(k) Match and free access to a financial advisor
Generous paid vacation/company holidays
Vacation reimbursement (we give you $500 to take vacation), sabbatical, pawternity leave, marriage leave, honeymoon bonus
Comprehensive healthcare with 100%-paid medical, vision, life & disability insurance
$2,000 annual training and development budget
Complimentary annual memberships to One Medical, NY Citi Bike and SF Ford GoBike
Monthly chair massages
Free fitness classes (spin, yoga, boxing)
Gym reimbursement, local gym membership discounts
Onsite flu shots, dental cleanings and vision exams
Annual company retreat
Paid parental leave and a lot of new parent perks
Emergency childcare credits
Volunteer Time Off and Donation Matching, ongoing group volunteer opportunities
Team lunches, Sip & Social Thursdays, Game Nights, Movie Nights
Healthy snacks and drinks
And there's a lot more!",4.4,"PulsePoint
4.4","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,?10 to ?50 billion (INR),"Crossix Solutions Inc., AppNexus, The Trade Desk"
246,Senior Data Scientist,$61K-$103K (Glassdoor Est.),"The Senior Data Scientist independently develops statistical models that will enable future growth and profitability for our book of business through appropriate pricing and underwriting of risk. He/she is responsible for the formulation of statistical models and direct application of models to address insurance business issues.
Essential Functions and Responsibilities
Produces complex predictive models which enable the creation of rating plans and evaluation of risk and profitability.
Develops studies that evaluate new business models for customer retention and growth initiatives as well as estimate the lifetime value of customer segments.
Identifies drivers of insurance costs, understanding the economics of customers’ behavior and estimating the expected losses for segments of risks using advanced statistical and analytical techniques on large data sets.
Develop or participate in the development of the overall analytical framework to support the company’s strategy for growth
Communicates analysis, strategy and recommendations to diverse audiences, including technical and non-technical.
Collaborates with upper management to assess the potential effects of proposed solutions and incorporates these considerations into recommendations.
Manages projects of high complexity.
Perform other job-related duties as assigned.
Advanced skills and training in predictive modeling, data mining and other quantitative and research analytics (Non-Linear Regression Analysis, Multivariate Analysis, Bayesian Methods, Generalized Linear Models, Decision Trees, Non Parametric estimations, etc.).
Ability to apply various predictive modeling techniques to develop solutions to various real-world problems.
Hands-on experience developing and delivering structured, methodology projects.
Exceptional programming ability in SAS, SQL, R or other programming languages.
Excellent written and oral communication and presentation skills.
In-depth understanding of database principles and experience working with large databases.
Ability to influence and guide across departmental boundaries.
Qualifications and Education
3 or more years of experience developing and implementing multivariate predictive models using GLM and other statistical methods. PhD in economics, statistics, or related field required.
Or in the alternative, a Master’s degree in Statistics, Engineering, Mathematics, Economics, or a related field (foreign educational equivalent accepted) and five (5) years of experience as indicated above.
High level of organizational and project management experience handling multiple projects simultaneously
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Operators,Insurance,?1 to ?5 billion (INR),"Arbella Insurance, Safety Insurance"
247,Data Scientist,$61K-$103K (Glassdoor Est.),"Job Description
What does WITHIN do?

We are Performance Branding experts. WITHIN works with some of the coolest brands and hottest startups, including Nike, AB InBev, Spanx and Shake Shack. We leverage digital channels and inspiring creative to fuel clients' growth using data every step of the way to drive our decision making.

What you will build as a Data Scientist at WITHIN...
You will cross-functionally collaborate with the Performance and Creative teams to understand our business then build machine-learning models to uncover trends and optimize performance
You will build scalable clustering, customer lifetime value, and churn models to help clients maximize long-term profitability
You will build and maintain data pipelines internal and external teams rely on for making key decisions
You will build and improve our underlying data infrastructure (we currently use Fivetran, GCP/BigQuery, and dbt as our analytics stack)
Requirements

You might be a fit for this role if...
You have professional SQL experience and understand the benefits of columnar storage
You have familiarity with git and the command line
You know how to write object-oriented Python
You have experience building machine learning models for both structured (decision-trees, linear regression, etc) and unstructured data (Computer Vision, NLP)
You understand the benefits of dbt for data transformations
You have the desire to learn Microservice Architecture (Docker and Kubernetes)
You are naturally curious and embrace failure as you learn new technologies
You have an obsession with accuracy
You have excellent listening and collaboration skills
Benefits

We offer competitive salary and benefits based on ability level including:
Competitive salary dependent on experience
Unlimited vacation policy
Anniversary vacation bonus
401k with match
Fully paid health insurance premiums
Monthly transportation and phone stipends
In-house massages, manicures, and haircuts
Daily lunch
Fully stocked kitchen
Dog-friendly office",4.4,"WITHIN
4.4","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
248,Marketing Data Analyst,$61K-$103K (Glassdoor Est.),"Overview


As a key member of the Analytics team, the Senior Marketing Analyst will be responsible for data-driven insights that enable eFinancial and Fidelity Life Association to optimize business processes and grow rapidly. The Senior Marketing Analyst will gather, organize and aggregate large sets of data in order to produce meaningful business insight in areas such as lead management, call center effectiveness, marketing spend effectiveness, and revenue generation. If you would love being an owner-operator of a fast-growing complex online business with modern technology stacks, building analytical and infrastructure solutions, and driving profitability via analytics, the Senior Marketing Analyst role is for you!

Responsibilities
Own the end-to-end lead performance management analytics to maximize risk-adjusted lifetime value generated by converting marketing spend into revenue
Develop lead / traffic forecasts by marketing channel, interpret sales conversion data, analyze and monitor results and recommend adjustments to keep marketing spend efficiency on track
Develop point solutions such as dynamic bidding models to guide lead and media buy
Work effectively with cross-functional partners in Business Intelligence, Marketing, and Finance to keep data initiatives on track, and provide periodic sales lead performance reporting to management team
Extract/extrapolate trends from competitor, user behavior, and market positioning analyses and recommend tangible opportunities for Business Development teams to maximize value of marketing relationships
Qualifications
Proven analytical and quantitative skills and an ability to use hard data and metrics to back up assumptions, develop business cases, and complete root cause/ analyses
Strong verbal and written communications skills that enable you to explain complex insights with clarity and precision to executive management
Experience developing insights across various areas of customer related data: financial, product and marketing
Proficiency in MS SQL/MySQL, Tableau/PowerBI and mastery of Microsoft Suite (Excel)
Knowledge of cloud-based data structures including Redshift, and programming languages such as Python a huge plus
An analytical mindset with relevant education such as a Bachelor’s degree in Mathematics, Statistics, Engineering, Economics, Finance or any related field
2-5 years of experience as a Data/Business/Financial Analyst with large, complex data sources
EEOC/Other


eFinancial is an equal opportunity employer and supports a diverse workplace. As an eFinancial employee, you will be eligible for Medical and Dental Insurance, Health Savings Accounts, Flexible Spending Accounts (Health, Dependent Care & Transit), Vision Care, 401(K), Short-term and Long-term Disability, Life and AD&D coverages.",3.5,"Efinancial
3.5",United States,"Bellevue, WA",201 to 500 employees,2001,Company - Private,Insurance Agencies & Brokerages,Insurance,?5 to ?10 billion (INR),-1
249,Data Scientist,$61K-$103K (Glassdoor Est.),"Role PurposeJostens is growing its advanced analytics capabilities to better meet the needs of the customers, including schools, students, teachers and broadly consumers; you will play a critical role in innovatingWorking across our global businesses with a strong focus in the US, this role will support strategic development and lead analytical initiatives that harness product potential across our combined businesses serving schools (yearbook, scholastic and college). Tools will be used to help drive merchandising and commercial performance (business and product line demand data, order/ship tracking, salesforce and marketing communications, account/pricing/discounting data, commission and margin reporting, contracted and projected reporting, business intelligence tracking etc.).The role will provide business critical insights around which products to deliver, how/when/who to offer products, where to price, how to package. This should improve product performance insights, and accelerate decisions that influence offers and go to market strategies.This role requires unusual flexibility, balancing hands-on coding and modelling (existing and new build models) on a frequent basis, in addition to mentoring/leading junior data scientists, and liaising with the broader business.We'll look to you to generate sound strategic insights from multiple, often complex raw data feeds, using your expert understanding of analytical and statistical data analysis techniques.You will get the opportunity to work with new technologies, while working closely with digital, marketing, finance and business unit leaders.Who you areYou are a ""creative builder"" who can develop as an individual and in collaborative setting; you always prioritize impact and focus on insights. You are motivated to bring novel data science techniques to a growing organization and lead the adoption of these methods. You are a self-starter, with a passion for building data strategies and solving business problems. You search for ways to improve things and work collaboratively with colleagues.The RoleThe base level responsibilities include informing and testing base data models, reviewing and revising data engineering (API inputs, ingestion scripts etc), running descriptive visualizations on tableau/powerBI, and importantly developing explanatory, predictive and optimized models using diverse set of methods (machine learning, Bayesian statistics, regression and advanced regressions)The goal is to create differentiated performance via machine learning, to both automate modelling improvements, train model, and develop predictive and precise insights that far outperform traditional analytical methods.Core Requirements* Undergraduate degree in the field of Computer Science, Machine Learning, Applied Statistics, Mathematics or a relevant Engineering discipline; Masters level degree in a quantitative discipline such as mathematics, physics, computer science or engineering. Strong mathematical and statistical analysis skills preferred, not required* Analytics, modelling or software development experience including current coding/software development, and base data engineering skills* Programming experience in Python and SQL, ideally with experience and understanding of using R* Experience in statistical modelling and advanced machine learning techniques (preferably in Gaussian Processes and/or Bayesian Networks)* Experience in presenting & communicating complex projects to non-technical teams* Team player with a collaborative mindset, always prioritising impact for the business* Understands big data principles and technologies with a working knowledge of data integration using established methodologies and technologies such as ETL, EAI, WebServices* Experience in effectively sharing data between multiple systems* Regularly communicate and share plans and activities within and outside of the technical functions and be highly adept at translating technical content into business terms (marketing, finance, general strategy)* Employ appropriate KPI's to measure process efficiency* Experience leading a team preferred but not required; coaching and mentoring business analysts expected over timeBenefits* Flexible, fun working environment* Health insurance and other benefits* Career progression, including fast potential to lead new capabilityWe aim to create a workforce that is representative of our society, knowing that embracing differences enhances the capabilities of our business and makes for a happy place to work. We are proud to recognize and celebrate that we have a diverse culture where employees are accepted for who they are, regardless of age, gender, ethnicity, sexual orientation, religion or ability.About Jostens:Celebrating over 120 years of business, Jostens has been a part of local communities, working with K-12 schools, colleges and universities, teams and affiliation groups. Representatives from Jostens touch thousands of schools and groups every day, working to make a difference with products and services that recognize accomplishments and help people tell their stories. These products, along with resources for educators, yearbook curriculum and services to help motivate and inspire like Jostens Renaissance® and Commitment to Graduate (C2G) are all designed to contribute to a positive and rewarding school experience. As a household name and leading brand in our market, we are passionate about being the most trusted partner in celebrating moments that matter. We are a mid-size company with a small company feel, allowing us to move fast and explore innovative ideas.Jostens is an Equal Opportunity Employer and complies with applicable employment laws. EOE/M/F/Vet/Disabled are encouraged to apply.",3.2,"Jostens
3.2","Minneapolis, MN","Minneapolis, MN",1001 to 5000 employees,1897,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
250,JC2002: Research Scientist: Coronavirus research and development,$61K-$103K (Glassdoor Est.),"ProSci Incorporated is a privately held biotechnology firm located in San Diego, California. A leader in its field, Our priority is to provide the highest quality monoclonal, polyclonal, and single domain antibody services in the industry. Our expertise in antibody production, immunochemistry services, and biological research is realized through customizable services, innovative products, competitive pricing, high-quality research tools, and unparalleled technical support.
We offer a competitive salary, as well as a comprehensive benefits package and a casual work environment.
We have a Research Scientist position open immediately for a highly motivated, detail oriented and experienced Research Scientist to support the research team of this exciting biotech company. The ideal candidate will be a highly motivated, energetic, flexible, self-starter with strong communications skills and attention to detail. This position is full-time and estimated working 40 hours per week. We offers an incredible opportunity for growth and professional development in a dynamic, rewarding work environment. We offer a competitive salary, a comprehensive benefit package including 401K, medical, dental, and life insurance, and a casual work environment.
Job Responsibilities:
Conduct research and development of Coronavirus therapeutics and reagents
Develop of antibodies against Coronavirus and associated human proteins
Perform virus neutralization assay and other assays
Express and purify recombinant proteins
Assist in grant and paper writing
Qualifications and Requirements:
Ph.D. in microbiology/immunology or related field
Postdoctoral experience
Experience in neutralizing antibody development and/or recombinant protein expression
Good oral and writing communication skills
Experience in coronavirus is preferred
In order to be considered, please submit the following information by replying this ad (no calls, no recruiters!):
Resume
Cover letter
Job Type: Full-time",2.3,"ProSci
2.3","Poway, CA","Poway, CA",1 to 50 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,?100 to ?500 million (INR),-1
251,Lead Data Scientist with NLP,$61K-$103K (Glassdoor Est.),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

The MITRE Corporation has a new opportunity for an innovative data scientist. You will be challenged to creatively apply machine learning/deep learning and data science to natural language processing (NLP) and computer vision to provide MITRE-unique value to our sponsors.

One of our mission-critical projects is supporting the Department of Commerce (DoC), with visibility at the Secretary level. Our new data scientist will play a key role in this multi-agency project for the Investigations and Threat Management Service (ITMS) within DoC. ITMS conducts investigations and analyses to identify and/or assess critical threats to the Department’s mission, operations or activities, and prevents or mitigates such threats from adversely affecting Department personnel, facilities, property or assets through strategic and tactical approaches.

On this project, MITRE will work with ITMS to stand up a capability that (a) supports the execution of law enforcement, intelligence, threat management, and other activities intrinsic to DoC’s mission, and (b) proactively identifies system vulnerabilities and actors who may be exploiting permissible access or bypassing current security.

The successful candidate will:
Contribute to innovation and research initiatives related to machine learning/deep learning, data science, natural language processing, and computer vision in combination with cybersecurity, data engineering and social science.
Provide thought leadership and collaborate with academia, industry and MITRE Technical Centers, portfolio and program divisions in innovation and research initiatives related to machine learning/deep learning, computer vision, cognitive science, mathematics and statistics in combination with cybersecurity, data engineering and social science.
Work with department leadership to develop and evolve an enduring, adaptive and forward-looking strategy and capability advancing the Department domain knowledge and capabilities that align with strategic/significant sponsor needs and challenges including but not limited to:
Adversarial information scenarios
Defining, detecting, and measuring information trust, bias/fairness in decision, models, and algorithms
Biometric authentication, detecting biometric or identity fraud, anti-spoofing
Defining, detecting, and measuring bias in datasets and information
Information security and privacy
Data generation
Data impacting quality of decision
Contribute to the technical work program of one or more projects and provide technical guidance and quality products focused on successful sponsor outcomes, strong leadership and transition of research results to sponsor operations.
Provide exemplary leadership, caring mentorship, and collaborative technical advice to staff related to Department domain knowledge or capabilities
Basic Qualifications
BS in applicable major
8 + years of related work experience using machine learning/deep learning, computer vision, and cognitive science.
Must have an active TS / SCI for consideration.
Required Experience
Documented success using TensorFlow, Keras, Caffe, Theano, PyTorch, and Dlib.
Hands on technical expertise programming & scripting using C/C++, Python, JSON, XML, SQL, NoSQL, DBMS, ETL.
Familiarity with cybersecurity, data engineering, social science, mobile computing, computer networking, virtualization, cloud computing, and big data.
Preferred Qualifications
MS or PhD with a minimum of one year of related experience in computer science.
Travel Statement
Sponsor site support in Washington D.C. Metropolitan Area.
MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Non-profit Organisation,Government Agencies,Government,?100 to ?500 billion (INR),"Battelle, General Atomics, SAIC"
252,Data Scientist,$61K-$103K (Glassdoor Est.),"Position Data Scientist Location Must be local to Oakland or Pleasanton, CA (Remote to start due to COVID) Duration Contract to the end of 122021 Interview Type 1 2 rounds of virtual interviews Required Skills Bachelor's degree 2 4 years of data analytics, model building, machine learning, data science, causal interference 2 4 years of experience with R and Python (Must have experience with both) 2 4 years of writing SQL queries Healthcare analytics is HIGHLY preferred but not required",5,"Enexus Global
5.0","Pleasanton, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
253,Data Scientist,$61K-$103K (Glassdoor Est.),We make small businesses more successful through better banking.Our company is looking for a Data Scientist to join our growing team as we enter a new phase of expansion,4.3,"NorthOne
4.3","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
254,"Sr. Data Scientist - Chicago, IL",$61K-$103K (Glassdoor Est.),"A world leader in the field of in vitro diagnostics for over 55 years, bioMérieux provides diagnostic solutions that detect disease and contamination to improve patient health and ensure consumer safety. bioMérieux’s global headquarters is located in Marcy L’Étoile, France, and we have more than 11,200 team members in 43 countries.

With our distributor network, we serve more than 160 countries. bioMérieux, Inc., our Americas division, has more than 4,000 team members across 12 sites or subsidiaries. Our Americas headquarters is in Durham, NC, with nearly 1,200 team members.

bioMérieux, Inc. sponsors public health initiatives and partnerships to address antimicrobial resistance, sepsis awareness, food safety, and consumer health. Our passionate team members recognize the power of diagnostics and rally behind our mission to help save lives.

bioMerieux has a position open for a Senior Data Scientist to be located in one of our primary locations: Durham, NC, St Louis, MO, or Chicago, IL (open to relocate).

We are seeking an experienced Senior Data Scientist to join our newly created Augmented Diagnostics team. This team is dedicated to solving critical customer quality and safety challenges through data in the Global Food and Pharmaceutical Business spaces. The Sr. Data Scientist will support these customer missions with insights gained from analyzing customer data, and with an objective to create predictive models where possible.

This will be an exciting opportunity to bring state-of-the-art data analysis and data modeling techniques to the food and pharmaceutical manufacturing. The Sr. Data Scientist will be responsible for structuring and validating customer data sources as well as creating analytics from these sources. He/she will work collaboratively with dedicated business analysts to fully understand the customer question, and to be focused on developing data-driven insights that bring value to the customer.

Objectives of this Role
Ways of working
Passion for discovering solutions hidden in the data and work with stakeholders to improve business outcomes.
Curiosity to seek to really understand the customer’s world and specific challenges through data
Creative mindset—ability and willingness to try new approaches that might better fit the problem at hand
Strong focus on value-creation for the customer and the team, in terms of short-term, day-to-day benefits and longer-term problem-solving
Collaborative mindset as you will work and adapt with a wide range of stake-holders and functional teams, especially business and process analysts (to develop a thorough understanding of needs) and customers
Learning together—adept at using data to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action
Focus on communication—strong team interactions, and the ability to communicate analytic solutions to stakeholders and provide suggestions to implement improvements as needed to operational systems
Technical
Strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations
Research and devise innovative statistical models for data analysis
Mine and analyze data from customer databases to drive optimization and improvement of product development
Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy
Keep current with technical and industry developments
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Create ad-hoc data sources on demand to find insights as needed.
Processing, cleansing, and verifying the integrity of data used for analysis
Required Education & Experience
4-year degree in Mathematics, Data Analytics, Information Systems, Computer Science or related field
5 years of experience in structuring, validating, analyzing and modeling data sets
2 years of experience with one of the following programming languages: R or Python
Experience with common productivity software such as Word, Excel, PowerPoint
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects
Excellent written and verbal communication skills for coordinating across teams.
Joining bioMérieux, is choosing to join an innovative company with a long term vision, committed to the service of public health and carried out with a humanistic corporate culture. Our Group offers numerous possibilities: so come and join the 11,200 bioMérieux team members who already identify with these values!

bioMérieux is an Equal Opportunity, Affirmative Action Employer. M/F/Vet/Disability/Sexual Orientation/Gender Identity/GINA

BMXID",4.2,"bioMérieux
4.2","Chicago, IL","Marcy-l'Etoile, France",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,?100 to ?500 billion (INR),-1
255,Data Scientist - Global Business Operations,$61K-$103K (Glassdoor Est.),"Are you innately curious, passionate about building impactful analyses and a truth seeker using data? Splunk is looking for an Data Scientist to join its dynamic Global Business Operations (GBO) team to boost Spunk’s fast growing business. The GBO team ensures data driven decision-making throughout the company. As a member of the team, you'll be detail-oriented and conscientious, analytical and curious. You're a strong problem-solver, who uses both quantitative and qualitative methods to get things done. And most importantly, you are an individual who wonders ""What if?"" and are relentless in seeking out the solution.

You will play an important role in how we “bring data to everything” with your expertise and passion to help address the data and analytical needs of teams and the business across the globe. Your knowledge of data, along with deep business context, will enable you to provide actionable analysis to ensure our GBO organization and Business Leaders are well-informed and able to make thoughtful, data backed decisions.

Location: San Jose, CA


Responsibilities: I want to and can do that
You will work with cross functional teams to optimize Splunk’s operations practices according to your findings
You will apply operations research and statistic methods to solve challenges related to scaling Splunk operations
You will work with the finance team on multiple efforts, including
Scenario Modeling Tool
Bottoms up revenue forecast model
Analytics Portal, daily automation of income statement
Market testing analysis & methodology
Work with large and complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes requirements specification, data collection, processing, analysis, ongoing deliverables, and presentations
Build and prototype analysis pipelines iteratively to provide insights at scale
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of partners through visual displays of quantitative information.
Requirements: I’ve already done that or have that!
This role is for doers; be able to get into the details and get the job done while at the same time being able to see the forest for the trees
Articulate with excellent verbal and written communication skills. Capable of communicating complex information in an easy to understand format. Able to interact comfortably with the cross functional leadership
Ability to think creatively; Builder who is ambitious. Highest standards of accuracy and precision; highly organized.
Collaboratively-focused and able to work well with others in a fast-paced and ever changing business.
NetSuite, Workday, Anaplan, SAP, Salesforce experience a plus.
Experience owning complex projects involving multiple teams
Experience with stats software (e.g., R, Python) and database languages (e.g., SQL)
Education: Got it!
Master's degree in a quantitative field (e.g., Stats, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics) or equivalent practical experience.
6 years of relevant work experience, including experience applying advanced analytics to operations and finance
Excellent problem-framing, problem-solving and project management skills.
We value diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other applicable legally protected characteristics in the location in which the candidate is applying. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.",4.1,"Splunk
4.1","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,?100 to ?500 billion (INR),-1
